"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @HaDs_gh_: Sarina Esmaeil Zade was 16 yo pretty girl, who loved sports, especially volleyball, and wants to be a YouTube influencer, I'm…",FALSE,0,NA,2022-11-25 08:32:09,FALSE,NA,"1596059150483537920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ardavan_nobari",24,TRUE,FALSE,NA,NA
"RT @OtiAdjei: Just let Kudus do it. How he recovered from the difficult start to boss the game was amazing. 

A player who could go very fa…",FALSE,0,NA,2022-11-25 08:32:09,FALSE,NA,"1596059149766303745",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","edemens",110,TRUE,FALSE,NA,NA
"RT @FIFAWorldCup: This one goes out to all the bosses out there ❤️

#FIFAWorldCup | #Qatar2022 https://t.co/1rYBFtdGhr",FALSE,0,NA,2022-11-25 08:32:09,FALSE,NA,"1596059149132931073",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dendencarp",22436,TRUE,FALSE,NA,NA
"RT @Sisyphus_2: The Islamic Republic has arrested Voria Ghafouri, one of the most popular football players in Iran, on the charge of insult…",FALSE,0,NA,2022-11-25 08:32:08,FALSE,NA,"1596059145643659264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","heli00182247",16,TRUE,FALSE,NA,NA
"RT @GFakhari: This is #Voria_Ghafouri, he is a professional football player, a former member of Iran’s team Melli. He was arrested today by…",FALSE,0,NA,2022-11-25 08:32:08,FALSE,NA,"1596059145056157699",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Azarember",24,TRUE,FALSE,NA,NA
"RT @hmins93: Kian Pirfalak,10 years old,also loved football
But he was Shot dead with bullets by Police on Wednesday.He is one of the young…",FALSE,0,NA,2022-11-25 08:32:08,FALSE,NA,"1596059144859033600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rey_the_villain",16,TRUE,FALSE,NA,NA
"RT @fkealme: @jeusiz @aoiamaris Nima Noori also loved football. A seventeen year old Real Madrid fan. He was murdered by the Islamic Republ…",FALSE,0,NA,2022-11-25 08:32:08,FALSE,NA,"1596059144477642753",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_0512clover",2,TRUE,FALSE,NA,NA
"RT @NR2OH: On November 16, 2019, Mohsen Mohammadpour injured by the Islamic Republic regime's security forces during Iran's November 2019 p…",FALSE,0,NA,2022-11-25 08:32:07,FALSE,NA,"1596059143437422592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ReihaneDezfulia",5,TRUE,FALSE,NA,NA
"@FIFAcom @CBF_Futebol Star Iranian football player #VoriaGhafouri has been arrested and charged with “propaganda ag… https://t.co/ZL3H3on1IC",FALSE,0,"FIFAcom",2022-11-25 08:32:05,TRUE,"1595842182589472769","1596059133538865152","140070953","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","callmeowlhuh",0,FALSE,FALSE,NA,NA
"RT @KoinBasket: Ronaldo is set to take on Ghana in what promises to be an exciting match. Predict the number of goals he will score and sta…",FALSE,0,NA,2022-11-25 08:32:05,FALSE,NA,"1596059133152620544",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","roxijw",93,TRUE,FALSE,NA,NA
